type,name,dashboard_element,url,space_name,parent_space_name,space_url,parent_space_url,errors
dashboard,2018 Fall Supply Goals,Hosts That Activated (Taylor),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at_month"".', 'field_name': 'park_settings.went_live_at_month', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,2018 Fall Supply Goals,Hosts That Activated (Christina),https://hipcamp.looker.com/dashboards/110,Fall 2018,Sales and Supply,https://hipcamp.looker.com/spaces/152,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""park_settings.went_live_at_month"".', 'field_name': 'park_settings.went_live_at_month', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}, {'message': 'Unknown field ""park_settings.went_live_at"".', 'field_name': 'park_settings.went_live_at', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': True}]"
dashboard,Supply Cohorts + Conversion,,https://hipcamp.looker.com/dashboards/124,Shared,,https://hipcamp.looker.com/spaces/1,,"[{'message': 'Unknown field ""states.sales_region"".', 'field_name': 'states.sales_region', 'explore_name': 'leads', 'model_name': 'analytics', 'removable': False}]"
dashboard,Leads Machine,GMV by Lead Type,https://hipcamp.looker.com/dashboards/165,2019,Sales and Supply,https://hipcamp.looker.com/spaces/171,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,GMV by Lead Type,https://hipcamp.looker.com/dashboards/229,Supply Operations,Shared,https://hipcamp.looker.com/spaces/259,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,Top 20 GMV post discount by Referral Source Detail,https://hipcamp.looker.com/dashboards/165,2019,Sales and Supply,https://hipcamp.looker.com/spaces/171,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,Top 20 GMV post discount by Referral Source Detail,https://hipcamp.looker.com/dashboards/229,Supply Operations,Shared,https://hipcamp.looker.com/spaces/259,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,GMV by Referral Source,https://hipcamp.looker.com/dashboards/165,2019,Sales and Supply,https://hipcamp.looker.com/spaces/171,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,GMV by Referral Source,https://hipcamp.looker.com/dashboards/229,Supply Operations,Shared,https://hipcamp.looker.com/spaces/259,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,Avg time to lead stages,https://hipcamp.looker.com/dashboards/165,2019,Sales and Supply,https://hipcamp.looker.com/spaces/171,https://hipcamp.looker.com/spaces/100,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Leads Machine,Avg time to lead stages,https://hipcamp.looker.com/dashboards/229,Supply Operations,Shared,https://hipcamp.looker.com/spaces/259,https://hipcamp.looker.com/spaces/1,"[{'message': 'Unknown field ""lead_facts.park_went_active_at_date"".', 'field_name': 'lead_facts.park_went_active_at_date', 'explore_name': 'lead_facts', 'model_name': 'analytics', 'removable': True}]"
dashboard,Supply Cohorts + Conversion,Host Referrals by Original Acquisition channel,https://hipcamp.looker.com/dashboards/124,Shared,,https://hipcamp.looker.com/spaces/1,,"[{'message': 'Unknown explore ""events"".', 'explore_name': 'events', 'model_name': 'funnel'}]"
